,내용
1665, 확진자 수는 상당히 적고 병원들은 환자를 치료하는 데 필요한 설비를 제대로 갖췄으며 프랑스에 사는 내 친구들과 가족들이 몇 달간 경험한 엄중한 봉쇄령이 필요할 정도로 어려운 상황에 처하지도 않았다
1666, 한국과 프랑스의 상황을 비교하기는 어렵다고 생각한다
1667, 두 나라의 지도자들이 상당히 다른 전략을 취한 데에는 분명한 이유가 있다
1668, 한국은 가능한 한 .확진자 .명.에 가까워지려 노력하는 반면 프랑스는 .바이러스와 함께 살기.를 터득하려고 노력하는 편이다
1669, 문화산책 . 프랑스에서는 작년 초 몇몇 국회의원들이 .코로나.는 해롭지 않은 독감일 뿐.이며 마스크는 별로 중요하지 않다고 발언하는 등 초동대처에서 정치적 실수가 있었다
1670, 그러나 두 나라의 확진자 수를 비교할 때 회원국인 프랑스는 국경 봉쇄가 어려운 반면 대한민국은 사실상 섬이나 다름없다는 지정학적 차이를 고려해야 한다
1671, 마지막으로 한국인들이 코로나. 방역조치에 적극적으로 협조하는 모습은 매우 인상적이었다
1672, 한국인들이 이런 단결력을 발휘하는 사례가 결코 생소하지 않았던 바 나는 한국이 코로나.와의 전쟁에서 가장 큰 성과를 거둔 이유 중 하나가 한국인들의 협동에 있다고 확신한다
1673, 한국 정부가 팬데믹 시대에 전반적으로 잘 대처하기는 했지만 몇 가지 아쉬운 점도 있다
1674, 첫째 팬데믹 시대라고 해서 경제 및 사회적 불평등 자살문제 출산율 저하 환경문제 등 주요 현안들을 간과해서는 안 된다
1675, 일례로 여러 항공사에서 승객들이 면세품을 구입하고 비행기로 현지 상공을 배회한 뒤 출발 공항으로 되돌아오는 .무착륙 관광비행. 상품을 출시했다
1676, 그러나 이는 비행기로 인한 심각한 환경오염 문제를 감안하지 않은 상품이다
1677, 둘째 확진자 수에 따라 일시적으로 국경을 폐쇄하거나 차등적인 여행 규제 조치를 실시할 수 있지만 공중보건 위협을 근거로 아니 그 어떤 근거를 들더라도 차별적인 의사 결정을 내려서는 안 된다
1678, 일부 한국인들은 알아차리지 못했을 수도 있는데 몇 달 전 서울시에서 외국인 노동자를 고용한 몇몇 공장에서 집단감염이 발생했다는 이유로 모든 재한 외국인들에게 의무적으로 코로나. 검사를 받으라고 고지했다
1679, 감염자 동선에 대한 효율적인 추적이 아닌 국적에 근거한 검사 요구는 전혀 논리적이지 않은 처사다
1680, 바이러스에 대한 공포가 선거 득표율을 높이기 위한 속셈과 더불어 순전한 차별로 이어진 사례라 하겠다
1681, 다행스럽게도 여러 대사관 및 상공회의소의 항의로 서울시는 해당 조치를 철회했다
1682, 최근 뉴스에서 백신 접종자는 해외에 나갔다가 입국 시 자가격리를 하지 않아도 된다는 보도가 있었다
1683, 백신 접종을 마친 기업인들 역시 격리 대상에서 제외된다
1684, 학자들 한국 가족을 방문하는 해외 거주자들도 마찬가지다
1685, 그러나 이번 여름에 출국해 해외에서 백신 접종을 받은 재한 외국인들은 한국에 재입국할 때 자가격리를 해야 한다
1686, 이는 불공정한 처사다
1687, 코로나.가 최대의 적이라는 이유로 차별적 조치가 시행되어서는 안 된다
1688, 우리 모두 합리적으로 조심스럽게 참을성 있게 처신하면서 팬데믹 시대가 속히 끝나기를 기다려 보자. 에바 존 한국프랑스학교 사서다
1689,피터 개스만 글로벌 리더는 .는 투명성.신뢰성이 중요하다
1690,고 말했다
1691, 사진 .한국 기업에 .환경 사회적 책임 지배구조 개선는 리스크이자 다양한 분야에서 기회가 될 수 있다
1692, 글로벌 회계.컨설팅 그룹인 프라이스워터하우스쿠퍼스의 피터 개스만 글로벌 리더의 말이다
1693, 그는 최근 중앙일보와의 서면 인터뷰에서 .한국은 를 기술주도형 혁신 동력으로 육성할 잠재력이 있다
1694,고 말했다
1695, 개스만 글로벌 리더기업이 주주 이익을 넘어서지속가능한 혜택 제공 필요 경영을 조직 방향성과 연결기업자산 활용할 여건 마련해야 기업의 비재무적 성과와 지속 가능성을 평가하는 는 기업 구조와 문화 경제 흐름까지 바꾸고 있다
1696, 글로벌지속가능투자연맹이 발간한 .글로벌 지속가능 투자리뷰.에 따르면 .년 미국과 유럽의 투자액.조.억 달러은 .년 전.조.억 달러보다 . 증가했다
1697, 국내 대기업과 금융회사도 잇따라 위원회를 설립하고 있다
1698, 그런데도 전 세계 많은 기업의 대응은 초기 수준이라는 게 개스만의 지적이다
1699, 가 기업 임원들을 대상으로 실시한 설문조사에서도 응답자의 .가 이렇게 평가했다
1700, 다음은 개스만과의 일문일답. 경영이 주주 가치를 높이면서 이해 관계자와의 공존 또는 상생이란 목표를 달성할 수 있나. .글로벌 금융위기 직후에는 경제 회복이 시급한 과제였다
1701, 이제는 다르다
1702, 투자자나 소비자를 비롯한 많은 이해 관계자가 투자와 소비 결정에 지속 가능성을 고려한다
1703, 기업이 주주 이익을 넘어 지속가능한 혜택을 제공해야 한다
1704, 경영은 시대의 가치다
1705, 관련기사한화그룹 .계열사 .곳 내달까지 위원회 설치. 가 기업 가치 창출에 어떤 역할을 할 수 있나. .를 사전에 적극적으로 관리하지 않으면 기업 가치를 떨어뜨리는 위험 요인이 될 수 있다
1706, 로 새로운 사업 영역을 창출하고 새로운 시장을 공략하면 기업의 성장을 촉진하고 기업 가치를 높이는 기회를 확보할 수 있다
1707, 경영으로 성과를 내는 데 필요한 것은. .기업 경영진이 얼마나 강력하게 드라이브를 거느냐에 달려 있다
1708, 두 가지가 필수다
1709, 우선 조직의 방향성과 연결하는 것이다
1710, 두 번째로 기업의 자산을 추진에 충분히 활용할 수 있는 여건을 마련해야 한다
1711, 개스만의 지적은 경영을 단순히 트렌드에 따른 .전시행정.에 그쳐선 안 된다는 뜻으로 볼 수 있다
1712, 그는 .는 기존 사업 과제에 추가하는 수순이 아니다
1713, 모든 사업 전략에 연결하고 기업 역량을 집중해야 한다
1714,고 말했다
1715, 그러면서 보여주기식 경영이라면 .그린 워싱.위장 환경주의에 빠질 수 있다고 경고했다
1716, 기업이 겉으로는 환경을 보호하는 듯 행동하지만 실제 제품 생산 과정에서 환경을 오염시키면 .부메랑.으로 돌아올 수 있기 때문이다
1717, 그는 .그린 워싱의 우려가 커지고 있다
1718, 는 투명성과 신뢰성이 중요하다
1719,고 말했다
1720, 중소기업의 경영을 위해 필요한 것은 뭔가. .중소기업은 혁신적이며 고유한 가치를 제안할 수 있다
1721, 정부가 기금을 마련하거나 보조금을 지원하는 방식으로 중소기업의 참여를 유도할 수 있다
1722, 앞으로 계획은. . 관련 역량을 강화하는 것과 관련해 각국 정부.대기업과 논의를 진행해 왔다
1723, 앞으로 대학과 주요 기관과 협력해 더욱 적극적인 역할을 수행하고 싶다
1724, 하현옥 기자 .다
1725,다큐멘터리 플라스틱 바다의 한 장면. 사진 유튜브 캡처 최태원 그룹 회장은 지난해 추석을 앞두고 임직원들에게 플라스틱 바다란 다큐멘터리를 시청할 것을 권했다
1726, 인류가 소비한 플라스틱이 바다 생태계를 어떻게 오염시키고 있는지는 고발한 .년 제작 영상이다
1727, 최 회장이 걱정했던 환경을 오염시키는 폐플라틱을 재활용해 새로운 제품으로 만들어내는 사회적 기업을 가 적극 지원하고 있다
1728, 이노베이션 플러스틱 페스티벌 이노베이션은 최근 임직원들의 자원 재활용에 대한 공감대를 높이기 위한 자체 행사에 폐플라스틱을 재활용하는 사회적 기업 우시산을 초청했다고 .일 밝혔다
1729, 플라스틱 재활용 제품을 체험해보고 폐플라스틱 재생을 확대.발전하는 아이디어도 모아보는 행사다
1730, 플라스틱 관련 아이디어를 더해보자는 뜻의 .플러스틱 페스티벌.은 다음달 .일까지 열린다
1731, 우시산은 지난달 말 . . 서울 녹색미래 정상회의. 부대행사로 경복궁에서 열린 .새활용 패션쇼.에 버려진 페트병에서 폴리프로필렌을 뽑아내 만든 .업사이클링 의자.를 납품해 주목받은 업체다
1732, 우시산은 플라스틱을 재활용한 실.솜을 이용해 이불.티셔츠.양말.인형도 만들어 팔고 있다
1733, 특히 우산은 한개를 만들 땐 .짜리 페트병 .개를 재활용하는 효과를 낸다고 한다
1734, 이 회사는 .년 이노베이션 사회적기업 창업 지원을 받으면서 인연을 이어오고 있다
1735, 지난해 재활용한 플라스틱 양은 .에 이른다
1736, 올해 재활용 목표는 .이다
1737, 셔츠 한장에 페트병 .개 이노베이션의 행사에는 플라스틱 재활용 티셔츠를 만드는 .몽세누.도 초청됐다
1738, 몽세누는 페트병을 모아 라벨과 뚜껑을 분리한 뒤 깨끗이 씻는다
1739, 이를 잘게 부순 뒤 폴리에스터 실을 뽑아내고 이 실로 짠 원단에 디자인을 입혀 옷을 만드는 방식이다
1740, 재생 실 혼합비율은 원단에 따라 .로 다양하다
1741, 셔츠 .장에 페트병 .개가 쓰이는데 지난해 이런 방식으로 재활용된 페트병은 .만개에 이른다고 한다
1742, 플라스틱을 재활용해 만든 의자왼쪽와 인형. 사진 이노베이션 이 회사는 .년 이노베이션이 환경부 등과 함께한 .환경 분야 사회적기업 창업 아이디어 공모전. 최우수상을 받으면서 인연을 맺었다
1743, . 서울정상회의 패션쇼엔 몽세뉴의 .가지 의류가 소개됐다
1744, 지난해 .월 문재인 대통령이 . 탄소중립 선언.을 하는 자리에 매고 나온 넥타이가 몽세누의 제품이다
1745, 재생 의류 업체인 .라잇루트.도 이 행사 초청 명단에 이름이 올랐다
1746, 이노베이션의 친환경 자원봉사단은 페트병 .개를 재활용해 만든 주황색 조끼를 입는데 이 조끼 제작사가 라잇루트다
1747, 지난해 .월 이노베이션의 사회적 비즈니스 공모전에 뽑히면서 인연을 맺었다
1748, 이노베이션의 플러스틱 페스티벌. 사진 이노베이션 고어텍스 못잖은 배터리 막 라잇루트는 배터리 분리막 소재인 폴리에틸렌 소재를 재활용해 옷을 만드는 데도 특화돼있다
1749, 배터리 안에서 양극과 음극 사이를 이온이 드나들도록 해주는 소재인데 제작 과정에서 불량이 생겨 버려지는 양이 매달 .만.에 이른다고 한다
1750, 축구장 .곳을 덮을 수 있는 넓이다
1751, 처치 곤란 쓰레기로 남을 수 있는 이 소재에서 고어텍스와 유사한 습기 배출 및 방수 기능을 살릴 수 있다는 점을 발견해 사업화 한 곳이 라잇루트다
1752, 이노베이션은 이번 행사에 참석한 .개 업체의 사업으로만 연간 .만개의 페트병을 재활용할 수 있을 것으로 추산하고 있다
1753, 이 같은 구상은 최태원 그룹 회장의 강조 사항이기도 하다
1754, 최 회장은 .플라스틱 바다
1755,를 시청할 것을 권하면서 .우리가 이미 기업 경영의 새로운 원칙으로 정한 환경.사회.지배구조 중심에 대한 영감을 얻길 바란다
1756,고 적었다
1757, 관련기사최태원이 물었다
1758,화석연료 마구 쓴 기업이 환경의 적 아닌가 최선욱 기자 .다
1759,광운대학교 플라즈마바이오과학연구소소장 최은하 가 교육부와 한국연구재단에서 주관하는 대학중점연구소 사업에 선정됐다
1760, 사업기간은 .년부터 .년간이며 총 .억원 연구개발비를 지원받게 된다
1761, 대학중점연구소는 광운대학교의 플라즈마 환경바이오 융합기술의 대학중점연구 대학주위 지역사 회의 청년창업 및 경제특화 기반조성개발을 통한 전문인력의 양성 또한 플라즈마 환경바이오융합과학 관련기업체의 참여 및 경제거점단지의 활성화를 목적으로 하는 연구소를 지향한다
1762, 연구팀은 연구 소장인 최은하 교수를 총괄책임자로 전자바이오물리학과박병주 교수 이건준 교수 박경순 교수 나젠드라 교수와 환경공학과장윤영 교수 양재규 교수 장민 교수 화학과장홍제 교수의 .인 전임교수가 참여한다
1763, 여기에 플라즈마바이오과학연구소 핵심전문연구교수홍영준 교수 최진성 교수 한인 교수 임준섭 교수 종초은 교수 .인이 플라즈마 환경 바이오융합연구로 참여하는 등 총 .인의 연구진으로 구성되어 있다
1764, 여기에 대학원생 연구 참여는 .명을 시작으로 향후 .명까지 확대할 계획이다
1765, 최은하 교수는 .이번 연구 사업 선정으로 플라즈마 환경 바이오 융합기술이 한 단계 더 발전해 전지구적 문제인 환경오염 문제에 기여할 수 있을것이라 기대한다
1766,라며 .광운대 플라즈마바이오과학연구소는 글로벌 연구역량을 갖춘 인재를 양성하고 선진 연구기관으로 도약할 수 있도록 최선의 노력을 다하겠다
1767,라고 소감을 밝혔다
1768, 온라인 중앙일보다
1769,나무를 심는 사람이 있었다
1770, 의구심 어린 시선에도 아랑곳하지 않고 수십 년의 세월 동안 한결같이 나무를 심어 끝내 숲을 이룬 이야기는 큰 울림을 준다
1771, 코오롱의 패션 온라인몰인 코오롱몰은 나무 대신 .지속가능성.이란 가치를 심는다
1772, 알지만 아무도 섣불리 시도하지 못했던 일에 과감히 첫발을 내디딘 것. 세상에 없던 카테고리 .위두.에 대해 궁금한 모든 것을 코오롱몰 고나현 운영팀장에게 물었다
1773, 위두에 대해 소개해주세요.지속가능성 위두 우리모두할수있다 코오롱몰 내에 만든 .지속가능 카테고리.입니다
1774, 지난해 .월 시작하면서 .우리 모두 할 수 있다
1775,는 의미를 담아 위두로 이름을 지었어요. 친환경.재활용.동물복지를 지향하는 브랜드가 선보이는 화장품.의류.생활용품 등 다양한 제품을 소개하고 판매 금액의 .를 지속가능 관련 사업에 기부하고 있습니다
1776, 카테고리를 관통하는 큰 메시지는 .지속가능성.이에요. 판매에 그치지 않고 지속가능성과 관련된 캠페인도 전개해요. 지난해 연말에는 구매 건수당 나무를 심는 프로젝트를 진행했습니다
1777, 아직 초반이지만 코오롱몰이란 커머스 사이트에서 지속가능성을 어떻게 보여줄지 여전히 고민 중입니다
1778, 코오롱몰 위두를 기획.운영하고 있는 고나현 팀장을 민지맨션에서 만났다
1779, 중앙포토 어떤 브랜드가 함께 하나요. 래코드.코오롱스포츠 같은 자사 브랜드를 포함해 .여 개 브랜드의 .여 개 제품이 입점해 있어요. 의류나 가방.액세서리류의 패션이 중심이지만 화장품.반려동물용품 등 카테고리가 다양합니다
1780, 뷰티 브랜드 라이크 와이즈 반데르피게는 친환경 포장으로 지속가능성을 이야기하고 굿네이버스의 핸드메이드 제품 판매 조합 메리쿱은 친환경 화분과 과테말라 여성의 자립을 위한 액세서리 등을 소개합니다
1781, 소싱 과정에서 가치 소비적인 브랜드를 찾기 위해 노력하고 있는데요 언제든 환영하니 입점을 희망하는 브랜드가 있다면 먼저 연락을 주셔도 좋습니다
1782, 개인적으로 애정하는 브랜드가 있으면 살짝 알려주세요. 당연히 래코드 래코드는 존재 자체가 지속가능성에 집중한 업사이클링 브랜드입니다
1783, 코오롱 래코드. 리사이클을 뚝심있게 전개하고 있는 고 팀장이 개인적으로 가장 좋아하는 브랜드다
1784, 가드닝 브랜드 파도식물의 크루들과 함께 한 코오롱스포츠의 노아프로젝트. 울릉도에서만 자라는 천연기념물 제.호이자 멸종위기종인 섬개야광나무의 꽃을 옷에 작은 꽃 무늬로 담아 이들이 처한 위험을 알렸다
1785, 제품 판매 외에 어떤 캠페인을 진행하나요. .오분 리워드 캠페인.은 .오늘의 분리수거 앱.과 함께해요. 앱에서 분리배출을 하고 쌓은 포인트를 코오롱몰에서 사용할 수 있습니다
1786, 일상 속 실천할 수 있는 행동 .가지를 차례대로 소개하는 .에브리데이 캠페인.도 있습니다
1787, .월에는 제로 웨이스트 캠페인인 .쓰레기 없이 장을 봤어요.를 전개했어요. 또 세계 환경의 날을 기억하자는 의미로 위두 매출의 .를 환경보호에 기부하고 래코드의 리폼리페어 서비스인 .박스 아틀리에. 이용권을 선착순으로 증정했답니다
1788, 아 앞서 말한 코오롱스포츠의 .노아 프로젝트.도 있네요. 올 봄.여름 시즌에는 울릉도에서만 자생하는 천연기념물 제.호인 섬개야광나무를 알리는 .섬개야광나무 프로젝트.가 한창 진행 중입니다
1789, .수익금.이 아니라 .판매액.의 .란 점이 눈에 띕니다
1790, 숲을 만드는 소셜 벤쳐 트리플래닛과 협업해 .그루의 소나무 묘목을 심어 .코오롱 산불 피해 복구숲.을 조성했다
1791, 사진 코오롱몰 지금까지 기부액은 어느 곳에 쓰였나요. 사업을 시작한 이래 올 .월까지 모두 .만원의 금액을 기부했습니다
1792, 위두 매출 .와 지난 연말 코오롱몰 고객 대상으로 진행했던 .숲 만들기. 프로젝트를 통해 모은 금액을 보탠 금액입니다
1793, 전액 .년 대형 산불로 큰 피해를 본 강원도 양양 서면 논화리 일대 숲을 조성하는 데 사용했습니다
1794, 그런 면에서 플랫폼 투자에 대한 필요성도 더 느끼고요. 바라는 점이나 보람이 있다면요. 지속가능성은 우리가 살아가는 환경에 대한 기본적인 관심이라고 생각해요. 나의 일상적인 행동이 위두를 접하면서 한 번씩 되돌아봤으면 좋겠습니다
1795, 작은 부분을 바꾸어서 우리의 지속가능성이 더 길어질 수 있다면 그것으로 저희는 포기하지 않고 위두를 계속 진행할 것입니다
1796, 코오롱몰 위두가 민지맨션에서 선보인 도퍼의 텀블러. 지난 .월 .일까지 열린 민지맨션과도 협업하셨죠. 민지맨션의 첫 번째 팝업스토어 주제인 .리러브.의 테마가 지속가능성 친환경이라고 알고 있어요. 위두와 딱 맞는 스토리란 점에서 너무 좋은 기회였습니다
1797, 코오롱몰의 주 고객층은 밀레니얼 세대 이상인데 이곳은 좀 더 젊은 기운이 넘치네요. 기획자로서는 저희가 고민하는 것들을 고루하지 않고 세련되게 전달하는 모습에서 많은 인사이트를 얻었습니다
1798, 강미숙 민지리뷰 객원에디터다
1799,플라스틱 쓰레기가 나오지 않는 다양한 쓰임새의 비누가 다시 인기를 얻고 있다
1800, 사진 신세계인터내셔날 지금껏 딱딱한 비누는 주로 손을 씻거나 빨래를 할 때 쓰였다
1801, 하지만 액체를 담은 플라스틱 용기가 환경오염의 주범이라는 인식이 확산하면서 고체 비누 시장이 수요와 기능 면에서 빠르게 진화하고 있다
1802, 용기 필요없는 비누의 재발견 .일 업계에 따르면 국내 시장에는 .샴푸 바. .클렌징 바. .설거지 바. 등 네모난 막대를 가리키는 바 형태의 다양한 비누가 출시되고 있다
1803, 경기도 분당에 사는 김민선. 씨도 올 들어 화장을 지운 뒤 비누로 얼굴을 씻고 있다
1804, 김 씨는 .처음엔 피지 조절 성분이 들어있다고 해서 사용하기 시작했지만 다 쓰고 나서 쓰레기가 나오지 않는다는 점이 마음에 든다
1805,며 .앞으로 샴푸나 린스도 비누로 바꿔보려 한다
1806,고 말했다
1807, 럭키현 생활건강에서 출시한 알로에비누 광고화면. 사진 유튜브 캡처 미용 비누는 .년대 큰 인기를 끌었다
1808, 이미연.오연수.이혜숙 등 당시 톱 탤런트들이 광고 모델로 등장했는데 이전 세대 비누보다 기능이 좋다는 점을 강조했다
1809, .촉촉함이 그리울 때 자연성분을 비누에 담아.피부가 먼저 느껴요. 럭키 알로에 비누. .모발엔 윤기를 피부엔 청결함을. 동산 창포비누. .비타민가 들어있는 촉촉한 비누 럭키 드봉 비누. 등이다
1810, 하지만 .년대 중반 이후 화려하고 고급스러운 디자인의 플라스틱 용기에 담긴 국내외 세정제품이 쏟아져 나오면서 액상 제품이 화장품.미용 시장의 주류가 됐다
1811, 고체 비누보다 액상 제품이 더 고급이라는 이미지가 자리 잡았다
1812, 비누 .개에 액상 .통 용량 비누가 다시 주목받기 시작한 건 불과 .년 전이다
1813, 코로나. 사태를 계기로 생태계를 교란하는 플라스틱 쓰레기를 줄여야 한다는 사회적 공감대가 넓게 이뤄졌다
1814, 특히 .대를 중심으로 생활 속에서 되도록 쓰레기가 나오지 않는 제품을 사용하려는 움직임이 뚜렷하다
1815, 관련 업체들도 유기농.천연 성분을 사용한 .고급 비누.들을 내놓으면서 친환경과 미용효과를 동시에 갖춘 시장이 만들어졌다
1816, 실제 고체형 샴푸의 경우 정제수를 빼고 응축했기 때문에 액상 샴푸보다 .배 오래 사용할 수 있다
1817, 플라스틱 통 .개를 줄이는 셈이다
1818, 자주가 올 .월 내놓은 샴푸와 바디워시 등 고체 비누 .종류. 사진 신세계인터내셔날 고객 .명 중 .명은 .대 일단 소비자 반응은 긍정적이다
1819, 신세계인터내셔날의 라이프스타일 브랜드 .자주.가 이달 초 내놓은 고체 비누 .제로 바.의 경우 출시 보름 만에 두 달 치 판매 예정 물량의 .가 팔렸다
1820, 특히 구매 고객의 .가 .대 젊은 층이었다
1821, 국내 화장품 브랜드인 .아로마티카.가 지난 .월 내놓은 .가지 비누 바 역시 고체형 세안용 비누를 만들어 달라는 고객 요청이 많아 회사가 개발한 제품이다
1822, 그 결과 출시 이후 .월까지 비누 바 매출 증가율은 지난해 월평균 매출 증가율의 .배에 달한다
1823, 로즈마리 등 자연 유래 성분을 사용한 아로마티카 비누 바. 사진 아로마티카 비누 바의 원조는 영국 친환경 화장품 브랜드 .러쉬.의 샴푸 바로 지난 .년 개발돼 특허를 받았다
1824, 비누 .개에 . 샴푸 .통의 양이 담겨 플라스틱 용기와 포장 쓰레기는 물론 운송으로 발생하는 탄소 배출까지 줄일 수 있다는 설명이다
1825, 러쉬코리아에 따르면 국내에서 샴푸 바 매출은 .월 말 기준으로 최근 .년간 전년 대비 . 늘어났다
1826, 러쉬의 샴푸 바 모습. 알록달록한 색상은 모두 천연 재료 자체의 색깔이다
1827, 사진 러쉬코리아 해외 브랜드 .명품비누. 전략 고체 미용 비누의 가격은 약 .만원 대이지만 .비누파. 소비자들은 개당 .만원에 육박하는 고가의 해외 브랜드 제품에도 지갑을 여는 추세다
1828, 이탈리아 화장품 브랜드 .산타 마리아 노벨라.의 경우 올 들어 .월 현재까지 .가지 고체 비누 매출이 전년 같은 기간보다 약 . 증가했다
1829, 야자수와 코코넛 오일 우유와 꿀 성분을 넣고 하나하나 수작업으로 포장해 .일간 숙성시켰다는 프리미엄 전략이 통하고 있다
1830, 업계 관계자는 .세대 고객들은 누가 시켜서가 아니라 자신의 가치관에 따라 친환경 소비를 즐기기 때문에 자연 유래 성분과 재활용 포장의 제품이 점점 필수가 돼 가고 있다
1831,고 말했다
1832, 이어 .업체마다 기존 여러 종류의 화장품들을 포장 쓰레기가 나오지 않게 고체화하는 개발 작업에 많은 예산과 노력을 들일 것.이라고 말했다
1833, 이소아 기자 .다
1834,.일 오전 경기도청 구관 브리핑룸에서 김영수 경기도 공정특별사법경찰단장이 .석유 및 석유대체연료사업법 위반행위 수사 결과.를 발표하고 있다
1835, 경기도 지난 .월 경기도의 한 전세버스 차고지. 전세버스에 기름을 채우는 작업이 한참 진행되고 있었다
1836, 주유소가 아닌 차고지의 한 창고에서 주유를 한 것이다
1837, 창고 문을 열자 기름통이 가득했다
1838, 전세버스 업자 씨는 .기사들이 기름이 떨어졌다고 해 인근 주유소에서 산 것.이라며 .모두 경유.라고 설명했다
1839, 하지만 경기도 공정특별사법경찰단특사경이 전세버스에 주입된 경유 시료를 채취해 확인하자 등유가 검출됐다
1840, 등유는 경유보다 당 .원 더 싸다
1841, 기름값을 아끼기 위해 등유와 경유를 섞어 가짜 석유를 만든 것이다
1842, 이 차고지 창고에서 발견된 등유와 경유는 총 .만.만원 상당. 특사경은 씨가 .의 가짜 석유를 만들어 전세버스 연료로 사용한 것으로 보고 있다
1843, 특사경 관계자는 .가짜 석유는 차량의 주요 부품을 손상해 대형 사고의 원인이 될 수 있으며 유해가스 배출로 환경오염을 일으키는 요인.이라며 .씨가 가짜 석유를 제조한 것은 물론 석유를 무단으로 저장해 석유 및 석유대체연료 사업법 위반 혐의로 입건했다
1844,고 말했다
1845, 경기 특사경 무허가 석유 판매업자 등 .명 적발 가짜 석유를 만들거나 석유를 불법으로 유통한 이들이 경기도에 무더기로 적발됐다
1846, 경기 특사경은 지난 .월부터 .월까지 석유 및 석유대체연료 사업법 위반 행위에 대해 수사를 해 업자 .명을 적발했다고 밝혔다
1847, 이들 중 .명은 검찰에 송치하고 .명은 형사입건해 수사하고 있다
1848, 이들이 유통한 가짜 석유와 불법으로 거래한 불법 석유 유통량만 시가 .억원 상당으로 . 드럼통 .만.개 분량인 총 .만에 달한다
1849, 증빙 자료 없이 불법으로 석유를 거래해 탈세한 세금도 .억.만원에 이르는 것으로 확인됐다
1850, 경기도 폐차 대행 업자 씨는 자신의 물류창고와 폐차에 석유를 보관하고 있다가 적발됐다
1851, 그가 불법으로 보관하고 있던 석유는 . 상당의 드럼통 .개와 . 크기의 말통 .개 분량으로 총 .에 이른다
1852, 씨는 .년 .월부터 .년 동안 폐차 의뢰받은 차량을 폐차장에 입고하기 전 연료통에 호스를 연결해 기름을 빼낸 것으로 확인됐다
1853, 특사경은 씨가 이 기름을 판매했을 가능성을 조사하고 있다
1854, 하지만 씨는 .빼낸 기름을 내가 사용하거나 지인들에게 주긴 했지만 판매하진 않았다
1855,고 주장했다
1856, 주유소 폐업 신고하고 석유 팔아 부당이득.탈세 씨는 바지사장 .명을 내세워 주유소를 운영했다
1857, 이후 석유를 공급받아 .개월 정도 영업하다 폐업했다
1858, 주유소의 경우 시중 가격보다 . 정도 싸게 기름을 구입할 수 있다
1859, 씨는 부가세 신고 전 폐업 신고를 하고 남은 기름은 시중 가격에 팔았다
1860, 이런 방식으로 .억원의 부당이득을 취하고 세금 .억.만원을 내지 않았다
1861, 공정특별사법경찰단장이 가짜석유 감정 시연을 하고 있다
1862, 경기도 석유판매업자 씨는 주유소를 폐업한 것처럼 위장한 후 건설 현장 덤프트럭 .대에 경유가 아닌 등유 .만.를 차량 연료로 불법 판매하다 덜미를 잡혔다
1863, 현행 .석유 및 석유대체연료 사업법. 에 따르면 가짜 석유 제조.보관.판매는 최고 .년 이하의 징역 또는 .억원 이하의 벌금을 물린다
1864, 무자료 거래 및 등유를 연료로 판매하면 최고 .년 이하의 징역 또는 .만원 이하 벌금 처분을 받는다
1865, 위반 사업장은 관할 관청으로부터 사업정지 또는 과징금 영업장 폐쇄 등의 행정처분도 받는다
1866, 김영수 경기 특사경단장은 적발된 이들이 모두 판매 장부 등을 가지고 있지 않아 이들이 불법으로 판매한 석유보다 더 될 것으로 추정된다며 한국석유관리원과 합동으로 석유유통업계에 대한 현장 단속을 계속할 예정이라고 말했다
1867, 최모란 기자 .다
1868,.일 오후 경기도 이천시 마장면 쿠팡 덕평물류센터 화재 현장에서 전문가들이 소방관과 함께 소방활동을 위한 건물 구조 안전진단을 위해 내부로 들어가고 있다
1869, 뉴시스 경기도 이천의 쿠팡 덕평물류센터 화재 진화 작업이 엿새 만에 끝났다
1870, 그러나 화재 전후 상황에 대한 논란은 이어지고 있다
1871, 당일 직원의 화재 신고 등이 묵살됐다는 주장 등이다
1872, 이번 물류센터 화재에서도 안전불감증 등의 고질병이 반복됐다는 비난을 피하기 어려운 상황이다
1873, .안전불감증.이 화 키웠나 경기도 이천 쿠팡 물류센터 화재 진압도중 순직한 광주소방서 소속 구조대장 고 김동식 소방령의 안장식이 .일 오후 국립대전현충원 소방공무원묘역에서 엄수되고 있다
1874, 프리랜서 김성태 지난 .일 청와대 국민청원 게시판에는 .덕평 쿠팡물류센터 화재는 처음이 아니었다
1875,는 제목의 글이 올라왔다
1876, 청원인은 .최초 신고자보다 .분 더 빨리 화재를 발견한 노동자.라며 .물류센터에서는 잦은 화재 경보 오작동이 있었다
1877, 화재 당일에는 .원래 오작동이 잦아서 불났다고 하면 양치기 소년이 된다
1878,는 말도 들었다
1879,고 주장했다
1880, 이런 내용이 온라인을 타고 퍼지며 .안이한 초기대응 등 안전불감증이 화를 키웠다
1881,는 지적이 나왔다
1882, 쿠팡 덕평물류센터 내부에서 휴대전화를 사용할 수 없다는 점에 대한 논란도 이어지고 있다
1883, 공공운수노조 쿠팡물류센터지회는 .쿠팡 측이 휴대전화 반입을 금지한 탓에 제때 신고하지 못했다는 내부 증언이 있었다
1884,고 주장했다
1885, 일각에서는 .일할 시간이 아까워 휴대전화 반입을 막았다고 한다면 노동자 인권을 침해한 것.이라며 쿠팡 불매.탈퇴 움직임을 보이기도 했다
1886, 이번 화재로 소방관 .명이 숨지는 등 인명 피해가 있었다
